Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2019,American League,Baltimore Orioles,54,108,0.333,25--56,29--52
2019,American League,Boston Red Sox,84,78,0.519,38--43,46--35
2019,American League,New York Yankees,103,59,0.636,57--24,46--35
2019,American League,Tampa Bay Rays,96,66,0.593,48--33,48--33
2019,American League,Toronto Blue Jays,67,95,0.414,35--46,32--49
2019,American League,Chicago White Sox,72,89,0.447,39--41,33--48
2019,American League,Cleveland Indians,93,69,0.574,49--32,44--37
2019,American League,Detroit Tigers,47,114,0.292,22--59,25--55
2019,American League,Kansas City Royals,59,103,0.364,31--50,28--53
2019,American League,Minnesota Twins,101,61,0.623,46--35,55--26
2019,American League,Houston Astros,107,55,0.66,60--21,47--34
2019,American League,Los Angeles Angels,72,90,0.444,38--43,34--47
2019,American League,Oakland Athletics,97,65,0.599,52--29,45--36
2019,American League,Seattle Mariners,68,94,0.42,36--45,32--49
2019,American League,Texas Rangers,78,84,0.481,41--40,37--44
2019,National League,Atlanta Braves,97,65,0.599,51--30,46--35
2019,National League,Miami Marlins,57,105,0.352,30--51,27--54
2019,National League,New York Mets,86,76,0.531,48--33,38--43
2019,National League,Philadelphia Phillies,81,81,0.5,45--36,36--45
2019,National League,Washington Nationals,93,69,0.574,50--31,43--38
2019,National League,Chicago Cubs,84,78,0.519,51--30,33--48
2019,National League,Cincinnati Reds,75,87,0.463,41--40,34--47
2019,National League,Milwaukee Brewers,89,73,0.549,45--36,44--37
2019,National League,Pittsburgh Pirates,69,93,0.426,35--46,34--47
2019,National League,St. Louis Cardinals,91,71,0.562,50--31,41--40
2019,National League,Arizona Diamondbacks,85,77,0.525,44--37,41--40
2019,National League,Colorado Rockies,71,91,0.438,43--38,28--53
2019,National League,Los Angeles Dodgers,106,56,0.654,59--22,47--34
2019,National League,San Diego Padres,70,92,0.432,36--45,34--47
2019,National League,San Francisco Giants,77,85,0.475,35--46,42--39
