Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2018,American League,Baltimore Orioles,47,115,0.29,28-53,19-62
2018,American League,Boston Red Sox,108,54,0.667,57-24,51-30
2018,American League,New York Yankees,100,62,0.617,53-28,47-34
2018,American League,Tampa Bay Rays,90,72,0.556,51-30,39-42
2018,American League,Toronto Blue Jays,73,89,0.451,35-46,38-43
2018,American League,Chicago White Sox,62,100,0.383,30-51,32-49
2018,American League,Cleveland Indians,91,71,0.562,49-32,42-39
2018,American League,Detroit Tigers,64,98,0.395,38-43,26-55
2018,American League,Kansas City Royals,58,104,0.358,32-49,26-55
2018,American League,Minnesota Twins,78,84,0.481,49-32,29-52
2018,American League,Houston Astros,103,59,0.636,58-23,45-36
2018,American League,Los Angeles Angels,80,82,0.494,42-39,38-43
2018,American League,Oakland Athletics,97,65,0.599,50-31,47-34
2018,American League,Seattle Mariners,89,73,0.549,45-36,44-37
2018,American League,Texas Rangers,67,95,0.414,34-47,33-48
2018,National League,Atlanta Braves,90,72,0.556,43-38,47-34
2018,National League,Miami Marlins,63,98,0.391,38-43,25-55
2018,National League,New York Mets,77,85,0.475,37-44,40-41
2018,National League,Philadelphia Phillies,80,82,0.494,49-32,31-50
2018,National League,Washington Nationals,82,80,0.506,41-40,41-40
2018,National League,Chicago Cubs,95,68,0.583,51-31,44-37
2018,National League,Cincinnati Reds,67,95,0.414,37-44,30-51
2018,National League,Milwaukee Brewers,96,67,0.589,49-32,47-35
2018,National League,Pittsburgh Pirates,82,79,0.509,44-37,38-42
2018,National League,St. Louis Cardinals,88,74,0.543,48-33,40-41
2018,National League,Arizona Diamondbacks,82,80,0.506,40-41,42-39
2018,National League,Colorado Rockies,91,72,0.558,47-34,44-38
2018,National League,Los Angeles Dodgers,92,71,0.564,45-37,47-34
2018,National League,San Diego Padres,66,96,0.407,31-50,35-46
2018,National League,San Francisco Giants,73,89,0.451,42-39,31-50
