Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2022,American League,Baltimore Orioles,83,79,0.512,45--36,38--43
2022,American League,Boston Red Sox,78,84,0.481,43--38,35--46
2022,American League,New York Yankees,99,63,0.611,57--24,42--39
2022,American League,Tampa Bay Rays,86,76,0.531,51--30,35--46
2022,American League,Toronto Blue Jays,92,70,0.568,47--34,45--36
2022,American League,Chicago White Sox,81,81,0.5,45--36,36--45
2022,American League,Cleveland Guardians,92,70,0.568,46--35,46--35
2022,American League,Detroit Tigers,66,96,0.407,37--44,29--52
2022,American League,Kansas City Royals,65,97,0.401,37--44,28--53
2022,American League,Minnesota Twins,78,84,0.481,44--37,34--47
2022,American League,Houston Astros,106,56,0.654,55--26,51--30
2022,American League,Los Angeles Angels,73,89,0.451,40--41,33--48
2022,American League,Oakland Athletics,60,102,0.37,29--52,31--50
2022,American League,Seattle Mariners,90,72,0.556,46--35,44--37
2022,American League,Texas Rangers,68,94,0.42,38--43,30--51
2022,National League,Atlanta Braves,101,61,0.623,52--29,49--32
2022,National League,Miami Marlins,69,93,0.426,40--41,29--52
2022,National League,New York Mets,101,61,0.623,54--28,47--33
2022,National League,Philadelphia Phillies,87,75,0.537,47--34,40--41
2022,National League,Washington Nationals,55,107,0.34,32--49,23--58
2022,National League,Chicago Cubs,74,88,0.457,37--44,37--44
2022,National League,Cincinnati Reds,62,100,0.383,33--48,29--52
2022,National League,Milwaukee Brewers,86,76,0.531,46--35,40--41
2022,National League,Pittsburgh Pirates,62,100,0.383,34--47,28--53
2022,National League,St. Louis Cardinals,93,69,0.574,53--28,40--41
2022,National League,Arizona Diamondbacks,74,88,0.457,37--44,37--44
2022,National League,Colorado Rockies,68,94,0.42,41--40,27--54
2022,National League,Los Angeles Dodgers,111,51,0.685,57--24,54--27
2022,National League,San Diego Padres,89,73,0.549,45--36,44--37
2022,National League,San Francisco Giants,81,81,0.5,43--38,38--43
