Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2024,American League,Baltimore Orioles,91,71,0.562,44--37,47--34
2024,American League,Boston Red Sox,81,81,0.5,38--43,43--38
2024,American League,New York Yankees,94,68,0.58,44--37,50--31
2024,American League,Tampa Bay Rays,80,82,0.494,42--39,38--43
2024,American League,Toronto Blue Jays,74,88,0.457,39--42,35--46
2024,American League,Chicago White Sox,41,121,0.253,23--58,18--63
2024,American League,Cleveland Guardians,93,69,0.568,48--33,45--36
2024,American League,Detroit Tigers,86,76,0.531,43--38,43--38
2024,American League,Kansas City Royals,86,76,0.531,45--36,41--40
2024,American League,Minnesota Twins,82,80,0.506,43--38,39--42
2024,American League,Houston Astros,88,73,0.547,46--35,42--38
2024,American League,Los Angeles Angels,72,90,0.444,35--46,37--44
2024,American League,Oakland Athletics,62,100,0.383,34--47,28--53
2024,American League,Seattle Mariners,85,77,0.525,47--34,38--43
2024,American League,Texas Rangers,77,85,0.475,40--41,37--44
2024,National League,Atlanta Braves,101,61,0.623,50--31,51--30
2024,National League,Miami Marlins,74,88,0.457,40--41,34--47
2024,National League,New York Mets,80,82,0.494,43--38,37--44
2024,National League,Philadelphia Phillies,95,67,0.586,49--32,46--35
2024,National League,Washington Nationals,65,97,0.401,30--51,35--46
2024,National League,Chicago Cubs,83,79,0.512,44--37,39--42
2024,National League,Cincinnati Reds,77,85,0.475,39--42,38--43
2024,National League,Milwaukee Brewers,93,69,0.574,47--34,46--35
2024,National League,Pittsburgh Pirates,76,86,0.469,39--42,37--44
2024,National League,St. Louis Cardinals,83,79,0.512,44--37,39--42
2024,National League,Arizona Diamondbacks,89,73,0.549,44--37,45--36
2024,National League,Colorado Rockies,62,100,0.383,39--42,23--58
2024,National League,Los Angeles Dodgers,106,56,0.654,56--25,50--31
2024,National League,San Diego Padres,93,69,0.568,46--35,47--34
2024,National League,San Francisco Giants,85,77,0.525,46--35,39--42
