Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2017,American League,Baltimore Orioles,75,87,0.463,46-35,29-52
2017,American League,Boston Red Sox,93,69,0.574,48-33,45-36
2017,American League,New York Yankees,91,71,0.562,51-30,40-41
2017,American League,Tampa Bay Rays,80,82,0.494,42-39,38-43
2017,American League,Toronto Blue Jays,76,86,0.469,42-39,34-47
2017,American League,Chicago White Sox,67,95,0.414,39-42,28-53
2017,American League,Cleveland Indians,102,60,0.63,49-32,53-28
2017,American League,Detroit Tigers,64,98,0.395,34-47,30-51
2017,American League,Kansas City Royals,80,82,0.494,43-38,37-44
2017,American League,Minnesota Twins,85,77,0.525,41-40,44-37
2017,American League,Houston Astros,101,61,0.623,53-28,48-33
2017,American League,Los Angeles Angels,80,82,0.494,39-42,41-40
2017,American League,Oakland Athletics,75,87,0.463,35-46,40-41
2017,American League,Seattle Mariners,78,84,0.481,45-36,33-48
2017,American League,Texas Rangers,78,84,0.481,41-40,37-44
2017,National League,Atlanta Braves,72,90,0.444,37-44,35-46
2017,National League,Miami Marlins,77,85,0.475,43-38,34-47
2017,National League,New York Mets,70,92,0.432,37-44,33-48
2017,National League,Philadelphia Phillies,66,96,0.407,39-42,27-54
2017,National League,Washington Nationals,97,65,0.599,49-32,48-33
2017,National League,Chicago Cubs,92,70,0.568,48-33,44-37
2017,National League,Cincinnati Reds,68,94,0.42,37-44,31-50
2017,National League,Milwaukee Brewers,86,76,0.531,45-36,41-40
2017,National League,Pittsburgh Pirates,75,87,0.463,39-42,36-45
2017,National League,St. Louis Cardinals,83,79,0.512,43-38,40-41
2017,National League,Arizona Diamondbacks,93,69,0.574,52-29,41-40
2017,National League,Colorado Rockies,87,75,0.537,46-35,41-40
2017,National League,Los Angeles Dodgers,104,58,0.642,57-24,47-34
2017,National League,San Diego Padres,71,91,0.438,43-38,28-53
2017,National League,San Francisco Giants,64,98,0.395,38-43,26-55
