Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2021,American League,Baltimore Orioles,52,110,0.321,27--54,25--56
2021,American League,Boston Red Sox,92,70,0.568,49--32,43--38
2021,American League,New York Yankees,92,70,0.568,46--35,46--35
2021,American League,Tampa Bay Rays,100,62,0.617,52--29,48--33
2021,American League,Toronto Blue Jays,91,71,0.562,47--33,44--38
2021,American League,Chicago White Sox,93,69,0.574,53--28,40--41
2021,American League,Cleveland Indians,80,82,0.494,40--41,40--41
2021,American League,Detroit Tigers,77,85,0.475,42--39,35--46
2021,American League,Kansas City Royals,74,88,0.457,39--42,35--46
2021,American League,Minnesota Twins,73,89,0.451,38--43,35--46
2021,American League,Houston Astros,95,67,0.586,51--30,44--37
2021,American League,Los Angeles Angels,77,85,0.475,40--42,37--43
2021,American League,Oakland Athletics,86,76,0.531,43--38,43--38
2021,American League,Seattle Mariners,90,72,0.556,46--35,44--37
2021,American League,Texas Rangers,60,102,0.37,36--45,24--57
2021,National League,Atlanta Braves,88,73,0.547,42--38,46--35
2021,National League,Miami Marlins,67,95,0.414,42--39,25--56
2021,National League,New York Mets,77,85,0.475,47--34,30--51
2021,National League,Philadelphia Phillies,82,80,0.506,47--34,35--46
2021,National League,Washington Nationals,65,97,0.401,35--46,30--51
2021,National League,Chicago Cubs,71,91,0.438,38--43,33--48
2021,National League,Cincinnati Reds,83,79,0.512,44--37,39--42
2021,National League,Milwaukee Brewers,95,67,0.586,50--31,45--36
2021,National League,Pittsburgh Pirates,61,101,0.377,32--49,29--52
2021,National League,St. Louis Cardinals,90,72,0.556,47--34,43--38
2021,National League,Arizona Diamondbacks,52,110,0.321,27--54,25--56
2021,National League,Colorado Rockies,74,87,0.46,48--33,26--54
2021,National League,Los Angeles Dodgers,106,56,0.654,58--23,48--33
2021,National League,San Diego Padres,79,83,0.488,43--38,36--45
2021,National League,San Francisco Giants,107,55,0.66,54--27,53--28
