Year,League,Team,Wins,Losses,Win_Pct,Home_Record,Away_Record
2020,American League,Baltimore Orioles,25,35,0.417,13--20,12--15
2020,American League,Boston Red Sox,24,36,0.4,11--20,13--16
2020,American League,New York Yankees,33,27,0.55,22--9,11--18
2020,American League,Tampa Bay Rays,40,20,0.667,20--9,20--11
2020,American League,Toronto Blue Jays,32,28,0.533,17--9,15--19
2020,American League,Chicago White Sox,35,25,0.583,18--12,17--13
2020,American League,Cleveland Indians,35,25,0.583,18--12,17--13
2020,American League,Detroit Tigers,23,35,0.397,11--19,12--16
2020,American League,Kansas City Royals,26,34,0.433,15--15,11--19
2020,American League,Minnesota Twins,36,24,0.6,24--7,12--17
2020,American League,Houston Astros,29,31,0.483,19--9,10--22
2020,American League,Los Angeles Angels,26,34,0.433,16--15,10--19
2020,American League,Oakland Athletics,36,24,0.6,22--10,14--14
2020,American League,Seattle Mariners,27,33,0.45,14--16,13--17
2020,American League,Texas Rangers,22,38,0.367,16--15,6--23
2020,National League,Atlanta Braves,35,25,0.583,19--9,16--16
2020,National League,Miami Marlins,31,29,0.517,11--15,20--14
2020,National League,New York Mets,26,34,0.433,12--18,14--16
2020,National League,Philadelphia Phillies,28,32,0.467,9--21,19--11
2020,National League,Washington Nationals,26,34,0.433,15--15,11--19
2020,National League,Chicago Cubs,34,26,0.567,21--11,13--15
2020,National League,Cincinnati Reds,31,29,0.517,19--12,12--17
2020,National League,Milwaukee Brewers,29,31,0.483,14--17,15--14
2020,National League,Pittsburgh Pirates,19,41,0.317,9--22,10--19
2020,National League,St. Louis Cardinals,30,28,0.517,14--13,16--15
2020,National League,Arizona Diamondbacks,25,35,0.417,13--17,12--18
2020,National League,Colorado Rockies,26,34,0.433,14--16,12--18
2020,National League,Los Angeles Dodgers,43,17,0.717,21--9,22--8
2020,National League,San Diego Padres,37,23,0.617,21--10,16--13
2020,National League,San Francisco Giants,29,31,0.483,19--14,10--17
